IMD,LifeExpectancy,Sex,Borough,Type
32.8,77.29,Male,Barking and Dagenham,Actual
16.1,81.66,Male,Barnet,Actual
16.3,79.88,Male,Bexley,Actual
25.6,79.45,Male,Brent,Actual
14.2,81.53,Male,Bromley,Actual
20.1,80.3,Male,Camden,Actual
22.5,79.39,Male,Croydon,Actual
22.7,79.59,Male,Ealing,Actual
25.8,80.48,Male,Enfield,Actual
24.5,78.88,Male,Greenwich,Actual
32.5,77.38,Male,Hackney,Actual
22.3,78.62,Male,Hammersmith and Fulham,Actual
28.0,79.25,Male,Haringey,Actual
15.0,81.36,Male,Harrow,Actual
16.8,79.85,Male,Havering,Actual
18.2,79.43,Male,Hillingdon,Actual
21.5,79.7,Male,Hounslow,Actual
27.5,78.18,Male,Islington,Actual
21.5,81.54,Male,Kensington and Chelsea,Actual
11.4,81.36,Male,Kingston upon Thames,Actual
25.4,78.85,Male,Lambeth,Actual
26.7,78.37,Male,Lewisham,Actual
14.6,80.34,Male,Merton,Actual
29.6,77.83,Male,Newham,Actual
17.2,80.07,Male,Redbridge,Actual
9.4,82.48,Male,Richmond upon Thames,Actual
25.8,78.91,Male,Southwark,Actual
14.0,80.44,Male,Sutton,Actual
27.9,78.01,Male,Tower Hamlets,Actual
25.2,79.12,Male,Waltham Forest,Actual
16.6,80.34,Male,Wandsworth,Actual
20.3,81.34,Male,Westminster,Actual
32.8,81.04,Female,Barking and Dagenham,Actual
16.1,85.51,Female,Barnet,Actual
16.3,83.24,Female,Bexley,Actual
25.6,84.9,Female,Brent,Actual
14.2,85.27,Female,Bromley,Actual
20.1,85.07,Female,Camden,Actual
22.5,84.04,Female,Croydon,Actual
22.7,84.65,Female,Ealing,Actual
25.8,84.74,Female,Enfield,Actual
24.5,82.54,Female,Greenwich,Actual
32.5,82.22,Female,Hackney,Actual
22.3,84.11,Female,Hammersmith and Fulham,Actual
28.0,84.54,Female,Haringey,Actual
15.0,85.28,Female,Harrow,Actual
16.8,83.48,Female,Havering,Actual
18.2,83.9,Female,Hillingdon,Actual
21.5,83.98,Female,Hounslow,Actual
27.5,82.95,Female,Islington,Actual
21.5,86.46,Female,Kensington and Chelsea,Actual
11.4,85.03,Female,Kingston upon Thames,Actual
25.4,83.22,Female,Lambeth,Actual
26.7,82.92,Female,Lewisham,Actual
14.6,84.8,Female,Merton,Actual
29.6,82.38,Female,Newham,Actual
17.2,84.2,Female,Redbridge,Actual
9.4,86.27,Female,Richmond upon Thames,Actual
25.8,83.55,Female,Southwark,Actual
14.0,84.02,Female,Sutton,Actual
27.9,81.91,Female,Tower Hamlets,Actual
25.2,83.46,Female,Waltham Forest,Actual
16.6,84.55,Female,Wandsworth,Actual
20.3,85.72,Female,Westminster,Actual
9.4,81.97251575925569,Male,Regression,Regression
9.636363636363637,81.9286245798863,Male,Regression,Regression
9.872727272727273,81.88473340051692,Male,Regression,Regression
10.10909090909091,81.84084222114754,Male,Regression,Regression
10.345454545454546,81.79695104177816,Male,Regression,Regression
10.581818181818182,81.75305986240878,Male,Regression,Regression
10.818181818181818,81.7091686830394,Male,Regression,Regression
11.054545454545455,81.66527750367001,Male,Regression,Regression
11.290909090909091,81.62138632430063,Male,Regression,Regression
11.527272727272727,81.57749514493125,Male,Regression,Regression
11.763636363636364,81.53360396556187,Male,Regression,Regression
12.0,81.48971278619248,Male,Regression,Regression
12.236363636363636,81.4458216068231,Male,Regression,Regression
12.472727272727273,81.40193042745372,Male,Regression,Regression
12.709090909090909,81.35803924808434,Male,Regression,Regression
12.945454545454545,81.31414806871496,Male,Regression,Regression
13.181818181818182,81.27025688934557,Male,Regression,Regression
13.418181818181818,81.22636570997619,Male,Regression,Regression
13.654545454545456,81.18247453060681,Male,Regression,Regression
13.89090909090909,81.13858335123743,Male,Regression,Regression
14.127272727272729,81.09469217186805,Male,Regression,Regression
14.363636363636363,81.05080099249867,Male,Regression,Regression
14.600000000000001,81.00690981312928,Male,Regression,Regression
14.836363636363636,80.9630186337599,Male,Regression,Regression
15.072727272727274,80.91912745439052,Male,Regression,Regression
15.309090909090909,80.87523627502114,Male,Regression,Regression
15.545454545454547,80.83134509565176,Male,Regression,Regression
15.781818181818181,80.78745391628237,Male,Regression,Regression
16.01818181818182,80.74356273691299,Male,Regression,Regression
16.254545454545454,80.69967155754361,Male,Regression,Regression
16.490909090909092,80.65578037817423,Male,Regression,Regression
16.727272727272727,80.61188919880485,Male,Regression,Regression
16.963636363636365,80.56799801943546,Male,Regression,Regression
17.2,80.52410684006608,Male,Regression,Regression
