values,Month,Area,Notes
20356,Apr-23,Wales,Total
341,Apr-23,Isle of Anglesey,
821,Apr-23,Blaenau Gwent,
948,Apr-23,Bridgend,
1332,Apr-23,Caerphilly,
2553,Apr-23,Cardiff,
845,Apr-23,Carmarthenshire,
157,Apr-23,Ceredigion,
582,Apr-23,Conwy,
600,Apr-23,Denbighshire,
675,Apr-23,Flintshire,
536,Apr-23,Gwynedd,
787,Apr-23,Merthyr Tydfil,
253,Apr-23,Monmouthshire,
1140,Apr-23,Neath Port Talbot,
1507,Apr-23,Newport,
445,Apr-23,Pembrokeshire,
291,Apr-23,Powys,
2362,Apr-23,"Rhondda, Cynon, Taff",
1782,Apr-23,Swansea,
632,Apr-23,Torfaen,
698,Apr-23,Vale of Glamorgan,
1069,Apr-23,Wrexham,
16845,May-23,Wales,Total
266,May-23,Isle of Anglesey,
672,May-23,Blaenau Gwent,
779,May-23,Bridgend,
1124,May-23,Caerphilly,
2184,May-23,Cardiff,
679,May-23,Carmarthenshire,
152,May-23,Ceredigion,
453,May-23,Conwy,
485,May-23,Denbighshire,
580,May-23,Flintshire,
446,May-23,Gwynedd,
635,May-23,Merthyr Tydfil,
224,May-23,Monmouthshire,
857,May-23,Neath Port Talbot,
1337,May-23,Newport,
381,May-23,Pembrokeshire,
226,May-23,Powys,
1767,May-23,"Rhondda, Cynon, Taff",
1366,May-23,Swansea,
608,May-23,Torfaen,
599,May-23,Vale of Glamorgan,
1025,May-23,Wrexham,
18975,Jun-23,Wales,Total
339,Jun-23,Isle of Anglesey,
689,Jun-23,Blaenau Gwent,
918,Jun-23,Bridgend,
1287,Jun-23,Caerphilly,
2527,Jun-23,Cardiff,
781,Jun-23,Carmarthenshire,
174,Jun-23,Ceredigion,
537,Jun-23,Conwy,
565,Jun-23,Denbighshire,
614,Jun-23,Flintshire,
543,Jun-23,Gwynedd,
753,Jun-23,Merthyr Tydfil,
269,Jun-23,Monmouthshire,
1003,Jun-23,Neath Port Talbot,
1431,Jun-23,Newport,
353,Jun-23,Pembrokeshire,
278,Jun-23,Powys,
2010,Jun-23,"Rhondda, Cynon, Taff",
1461,Jun-23,Swansea,
689,Jun-23,Torfaen,
680,Jun-23,Vale of Glamorgan,
1074,Jun-23,Wrexham,
16347,Jul-23,Wales,Total
290,Jul-23,Isle of Anglesey,
615,Jul-23,Blaenau Gwent,
822,Jul-23,Bridgend,
1050,Jul-23,Caerphilly,
2177,Jul-23,Cardiff,
670,Jul-23,Carmarthenshire,
148,Jul-23,Ceredigion,
479,Jul-23,Conwy,
469,Jul-23,Denbighshire,
556,Jul-23,Flintshire,
422,Jul-23,Gwynedd,
574,Jul-23,Merthyr Tydfil,
235,Jul-23,Monmouthshire,
927,Jul-23,Neath Port Talbot,
1217,Jul-23,Newport,
314,Jul-23,Pembrokeshire,
280,Jul-23,Powys,
1637,Jul-23,"Rhondda, Cynon, Taff",
1351,Jul-23,Swansea,
611,Jul-23,Torfaen,
576,Jul-23,Vale of Glamorgan,
927,Jul-23,Wrexham,
15273,Aug-23,Wales,Total
261,Aug-23,Isle of Anglesey,
542,Aug-23,Blaenau Gwent,
732,Aug-23,Bridgend,
1008,Aug-23,Caerphilly,
2132,Aug-23,Cardiff,
696,Aug-23,Carmarthenshire,
138,Aug-23,Ceredigion,
416,Aug-23,Conwy,
482,Aug-23,Denbighshire,
518,Aug-23,Flintshire,
401,Aug-23,Gwynedd,
484,Aug-23,Merthyr Tydfil,
212,Aug-23,Monmouthshire,
813,Aug-23,Neath Port Talbot,
1158,Aug-23,Newport,
360,Aug-23,Pembrokeshire,
259,Aug-23,Powys,
1529,Aug-23,"Rhondda, Cynon, Taff",
1214,Aug-23,Swansea,
558,Aug-23,Torfaen,
557,Aug-23,Vale of Glamorgan,
803,Aug-23,Wrexham,
17394,Sep-23,Wales,Total
301,Sep-23,Isle of Anglesey,
648,Sep-23,Blaenau Gwent,
821,Sep-23,Bridgend,
1087,Sep-23,Caerphilly,
2335,Sep-23,Cardiff,
814,Sep-23,Carmarthenshire,
183,Sep-23,Ceredigion,
488,Sep-23,Conwy,
521,Sep-23,Denbighshire,
654,Sep-23,Flintshire,
446,Sep-23,Gwynedd,
566,Sep-23,Merthyr Tydfil,
259,Sep-23,Monmouthshire,
883,Sep-23,Neath Port Talbot,
1324,Sep-23,Newport,
422,Sep-23,Pembrokeshire,
288,Sep-23,Powys,
1721,Sep-23,"Rhondda, Cynon, Taff",
1412,Sep-23,Swansea,
643,Sep-23,Torfaen,
651,Sep-23,Vale of Glamorgan,
927,Sep-23,Wrexham,
18504,Oct-23,Wales,Total
337,Oct-23,Isle of Anglesey,
739,Oct-23,Blaenau Gwent,
837,Oct-23,Bridgend,
1245,Oct-23,Caerphilly,
2386,Oct-23,Cardiff,
775,Oct-23,Carmarthenshire,
175,Oct-23,Ceredigion,
548,Oct-23,Conwy,
612,Oct-23,Denbighshire,
727,Oct-23,Flintshire,
489,Oct-23,Gwynedd,
570,Oct-23,Merthyr Tydfil,
317,Oct-23,Monmouthshire,
919,Oct-23,Neath Port Talbot,
1355,Oct-23,Newport,
399,Oct-23,Pembrokeshire,
288,Oct-23,Powys,
1908,Oct-23,"Rhondda, Cynon, Taff",
1493,Oct-23,Swansea,
670,Oct-23,Torfaen,
649,Oct-23,Vale of Glamorgan,
1066,Oct-23,Wrexham,
18417,Nov-23,Wales,Total
290,Nov-23,Isle of Anglesey,
729,Nov-23,Blaenau Gwent,
890,Nov-23,Bridgend,
1164,Nov-23,Caerphilly,
2227,Nov-23,Cardiff,
881,Nov-23,Carmarthenshire,
208,Nov-23,Ceredigion,
562,Nov-23,Conwy,
600,Nov-23,Denbighshire,
642,Nov-23,Flintshire,
559,Nov-23,Gwynedd,
624,Nov-23,Merthyr Tydfil,
277,Nov-23,Monmouthshire,
990,Nov-23,Neath Port Talbot,
1234,Nov-23,Newport,
427,Nov-23,Pembrokeshire,
281,Nov-23,Powys,
2048,Nov-23,"Rhondda, Cynon, Taff",
1481,Nov-23,Swansea,
676,Nov-23,Torfaen,
635,Nov-23,Vale of Glamorgan,
992,Nov-23,Wrexham,
18755,Dec-23,Wales,Total
331,Dec-23,Isle of Anglesey,
670,Dec-23,Blaenau Gwent,
889,Dec-23,Bridgend,
1136,Dec-23,Caerphilly,
2453,Dec-23,Cardiff,
918,Dec-23,Carmarthenshire,
173,Dec-23,Ceredigion,
576,Dec-23,Conwy,
638,Dec-23,Denbighshire,
702,Dec-23,Flintshire,
569,Dec-23,Gwynedd,
618,Dec-23,Merthyr Tydfil,
305,Dec-23,Monmouthshire,
960,Dec-23,Neath Port Talbot,
1478,Dec-23,Newport,
465,Dec-23,Pembrokeshire,
279,Dec-23,Powys,
1708,Dec-23,"Rhondda, Cynon, Taff",
1506,Dec-23,Swansea,
702,Dec-23,Torfaen,
650,Dec-23,Vale of Glamorgan,
1029,Dec-23,Wrexham,
26897,Jan-24,Wales,Total
500,Jan-24,Isle of Anglesey,
1015,Jan-24,Blaenau Gwent,
1309,Jan-24,Bridgend,
1734,Jan-24,Caerphilly,
3465,Jan-24,Cardiff,
1181,Jan-24,Carmarthenshire,
253,Jan-24,Ceredigion,
804,Jan-24,Conwy,
913,Jan-24,Denbighshire,
997,Jan-24,Flintshire,
837,Jan-24,Gwynedd,
933,Jan-24,Merthyr Tydfil,
382,Jan-24,Monmouthshire,
1361,Jan-24,Neath Port Talbot,
2007,Jan-24,Newport,
599,Jan-24,Pembrokeshire,
403,Jan-24,Powys,
2671,Jan-24,"Rhondda, Cynon, Taff",
2150,Jan-24,Swansea,
1003,Jan-24,Torfaen,
974,Jan-24,Vale of Glamorgan,
1406,Jan-24,Wrexham,
19033,Feb-24,Wales,Total
338,Feb-24,Isle of Anglesey,
697,Feb-24,Blaenau Gwent,
886,Feb-24,Bridgend,
1203,Feb-24,Caerphilly,
2438,Feb-24,Cardiff,
860,Feb-24,Carmarthenshire,
131,Feb-24,Ceredigion,
569,Feb-24,Conwy,
587,Feb-24,Denbighshire,
738,Feb-24,Flintshire,
608,Feb-24,Gwynedd,
677,Feb-24,Merthyr Tydfil,
