FID,wcode,practicename,noofbranches,ppclustercode,ppclustername,uprn,usrn,easting,northing,latitude,longitude,lhb_code,lhbwcode,lhb_name_cy,lhb_name_en,lacode,msoa21cd,edcode,lsoa21cd,countrycode,country_cy,country_en,fid,id,geom
gpmainsites_ogl.1,W00005,Aber Medical Centre,2,CC605,Caerphilly South,43008482,47503520,312120,189325,51.5958917,-3.2701071,7A6,W11000028,Bwrdd Iechyd Prifysgol Aneurin Bevan,Aneurin Bevan University Health Board,W06000018,W02000307,W05001648,W01001331,W92000004,Cymru,Wales,1,1,MULTIPOINT ((312120 189325))
gpmainsites_ogl.2,W00007,Caritas Surgery,1,CC113,North & West Wrexham,10070388343,46911492,328687,351108,53.0524679,-3.0653491,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000083,W05001726,W01000362,W92000004,Cymru,Wales,5,2,MULTIPOINT ((328687 351108))
gpmainsites_ogl.3,W00065,Uwchaled Medical Practice,0,CC105,Conwy West,10024339716,46605805,295418,348623,53.0246586,-3.5607061,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000003,W02000040,W05001431,W01000190,W92000004,Cymru,Wales,8,3,MULTIPOINT ((295418 348623))
gpmainsites_ogl.4,W00067,Argyle Medical Group,1,CC206,South Pembrokeshire,2.00002E+11,47000994,197119.32,203341.37,51.6920785,-4.9368142,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000009,W02000138,W05001476,W01000603,W92000004,Cymru,Wales,9,4,MULTIPOINT ((197119.32 203341.37))
gpmainsites_ogl.5,W00076,Bradley's Practice,1,CC110,South Flintshire,10090465658,46800904,327906.64,364526.11,53.1729569,-3.080007,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000069,W05001578,W01000264,W92000004,Cymru,Wales,12,5,MULTIPOINT ((327906.64 364526.11))
gpmainsites_ogl.6,W00100,Cardiff And Vale Health Inclusion Service,0,,,1.00101E+11,5804612,319352,176878,51.4850817,-3.1628661,7A4,W11000029,Bwrdd Iechyd Prifysgol Caerdydd a'r Fro,Cardiff and Vale University Health Board,W06000015,W02000402,W05001270,W01001696,W92000004,Cymru,Wales,15,6,MULTIPOINT ((319352 176878))
gpmainsites_ogl.7,W00133,Ashgrove Medical Centre,0,CC202,Llanelli,10009170650,47206490,250604,200627,51.6844789,-4.1624966,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000010,W02000164,W05001190,W01000653,W92000004,Cymru,Wales,16,7,MULTIPOINT ((250604 200627))
gpmainsites_ogl.8,W00134,The Llwynhendy Health Centre,0,CC202,Llanelli,2.00003E+11,47205181,253324,200256,51.6818627,-4.1230234,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000010,W02000166,W05001215,W01000708,W92000004,Cymru,Wales,17,8,MULTIPOINT ((253324 200256))
gpmainsites_ogl.10,W00142,Amman Tawe Partnership,2,CC201,Amman Gwendraeth,10009186269,47706317,270114,212124,51.7926499,-3.8847433,7A3,W11000031,Bwrdd Iechyd Prifysgol Bae Abertawe,Swansea Bay University Health Board,W06000012,W02000417,W05001700,W01000928,W92000004,Cymru,Wales,19,9,MULTIPOINT ((270114 212124))
gpmainsites_ogl.11,W00143,Amman Tawe Partnership,2,CC311,Upper Valleys,1.00101E+11,47718307,274694,212722,51.7990693,-3.8185853,7A3,W11000031,Bwrdd Iechyd Prifysgol Bae Abertawe,Swansea Bay University Health Board,W06000012,W02000417,W05001695,W01000919,W92000004,Cymru,Wales,22,10,MULTIPOINT ((274694 212722))
gpmainsites_ogl.12,W00144,Waterside Medical Practice,4,CC309,Neath,10023951613,47709332,273623,193292,51.624217,-3.8270576,7A3,W11000031,Bwrdd Iechyd Prifysgol Bae Abertawe,Swansea Bay University Health Board,W06000012,W02000211,W05001685,W01000897,W92000004,Cymru,Wales,25,11,MULTIPOINT ((273623 193292))
gpmainsites_ogl.13,W91002,Plas Meddyg Surgery,0,CC103,Central & South Denbighshire,2.00003E+11,46701157,312585,358446,53.116018,-3.3075057,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000055,W05001356,W01000243,W92000004,Cymru,Wales,30,12,MULTIPOINT ((312585 358446))
gpmainsites_ogl.14,W91003,Clarence Medical Centre,1,CC111,North Denbighshire,2.00004E+11,46701294,300748,381081,53.3173405,-3.4913507,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000045,W05001355,W01000240,W92000004,Cymru,Wales,31,13,MULTIPOINT ((300748 381081))
gpmainsites_ogl.15,W91004,Strathmore Medical Practice,0,CC114,Central Wrexham,1.00101E+11,46904076,333646,350969,53.0518587,-2.9913513,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000426,W05001714,W01000393,W92000004,Cymru,Wales,33,14,MULTIPOINT ((333646 350969))
