AreaCode,Council Area,2024_Total_Electorate
S92000003,Scotland,"4,283,287"
S12000033,Aberdeen City,"171,157"
S12000034,Aberdeenshire,"207,528"
S12000041,Angus,"91,668"
S12000035,Argyll and Bute,"70,310"
S12000036,City of Edinburgh,"406,064"
S12000005,Clackmannanshire,"40,554"
S12000006,Dumfries and Galloway,"117,552"
S12000042,Dundee City,"114,115"
S12000008,East Ayrshire,"97,179"
S12000045,East Dunbartonshire,"87,378"
S12000010,East Lothian,"90,969"
S12000011,East Renfrewshire,"75,586"
S12000014,Falkirk,"127,526"
S12000047,Fife,"289,830"
S12000049,Glasgow City,"455,451"
S12000017,Highland,"187,845"
S12000018,Inverclyde,"61,221"
S12000019,Midlothian,"78,322"
S12000020,Moray,"75,599"
S12000013,Na h-Eileanan Siar,"21,509"
S12000021,North Ayrshire,"107,931"
S12000050,North Lanarkshire,"265,065"
S12000023,Orkney Islands ,"17,818"
S12000048,Perth and Kinross,"122,489"
S12000038,Renfrewshire,"144,643"
S12000026,Scottish Borders,"95,094"
S12000027,Shetland Islands ,"17,738"
S12000028,South Ayrshire,"91,593"
S12000029,South Lanarkshire,"261,960"
S12000030,Stirling,"72,125"
S12000039,West Dunbartonshire,"68,889"
S12000040,West Lothian,"150,579"
