Date,Region,Mean
1988-02-01,East Anglia,0.63666666
1988-02-01,East Midlands,0.59999996
1988-02-01,London,0.62111115
1988-02-01,North,0.5809091
1988-02-01,North West,0.59875
1988-02-01,Northern Ireland,0.61399996
1988-02-01,Scotland,0.6072727
1988-02-01,South East,0.63
1988-02-01,South West,0.618
1988-02-01,Wales,0.609
1988-02-01,West Midlands,0.61571425
1988-02-01,Yorkshire & Humber,0.6136364
1988-03-01,East Anglia,0.6244444
1988-03-01,East Midlands,0.599
1988-03-01,London,0.61625
1988-03-01,North,0.5772727
1988-03-01,North West,0.5985714
1988-03-01,Northern Ireland,0.626
1988-03-01,Scotland,0.6075
1988-03-01,South East,0.6246154
1988-03-01,South West,0.61777776
1988-03-01,Wales,0.602
1988-03-01,West Midlands,0.62454545
1988-03-01,Yorkshire & Humber,0.6163636
1988-04-01,East Anglia,0.6318182
1988-04-01,East Midlands,0.60499996
1988-04-01,London,0.631
1988-04-01,North,0.58454543
1988-04-01,North West,0.61
1988-04-01,Northern Ireland,0.59
1988-04-01,Scotland,0.6033333
1988-04-01,South East,0.62846154
1988-04-01,South West,0.607
1988-04-01,Wales,0.607
1988-04-01,West Midlands,0.622
1988-04-01,Yorkshire & Humber,0.61399996
1988-05-01,East Anglia,0.6244444
1988-05-01,East Midlands,0.601
1988-05-01,London,0.6425
1988-05-01,North,0.5872727
1988-05-01,North West,0.624375
1988-05-01,Northern Ireland,0.618
1988-05-01,Scotland,0.5933333
1988-05-01,South East,0.6292857
1988-05-01,South West,0.61300004
1988-05-01,Wales,0.61300004
1988-05-01,West Midlands,0.63266665
1988-05-01,Yorkshire & Humber,0.612
1988-06-01,East Anglia,0.6244444
1988-06-01,East Midlands,0.59
1988-06-01,London,0.62888885
1988-06-01,North,0.58199996
1988-06-01,North West,0.6193333
1988-06-01,Northern Ireland,0.6133333
1988-06-01,Scotland,0.61333334
1988-06-01,South East,0.63416666
1988-06-01,South West,0.60909086
1988-06-01,Wales,0.609
1988-06-01,West Midlands,0.63799995
1988-06-01,Yorkshire & Humber,0.623
1988-07-01,East Anglia,0.6275
1988-07-01,East Midlands,0.62142855
1988-07-01,London,0.62888885
1988-07-01,North,0.596
1988-07-01,North West,0.61642855
1988-07-01,Northern Ireland,0.6116666
1988-07-01,Scotland,0.61153847
1988-07-01,South East,0.635
1988-07-01,South West,0.627
1988-07-01,Wales,0.608
1988-07-01,West Midlands,0.64285713
1988-07-01,Yorkshire & Humber,0.62399995
1988-09-01,East Anglia,0.63124996
1988-09-01,East Midlands,0.62
1988-09-01,London,0.6244444
1988-09-01,North,0.6125
1988-09-01,North West,0.6293333
1988-09-01,Northern Ireland,0.635
1988-09-01,Scotland,0.6138462
1988-09-01,South East,0.6461538
1988-09-01,South West,0.653
1988-09-01,Wales,0.61444443
1988-09-01,West Midlands,0.6521429
1988-09-01,Yorkshire & Humber,0.6490909
1988-10-01,East Anglia,0.6355555
1988-10-01,East Midlands,0.62666667
1988-10-01,London,0.6477778
1988-10-01,North,0.63
1988-10-01,North West,0.6333333
1988-10-01,Northern Ireland,0.62833333
1988-10-01,Scotland,0.61615384
1988-10-01,South East,0.64230764
1988-10-01,South West,0.653
1988-10-01,Wales,0.622
1988-10-01,West Midlands,0.6584615
1988-10-01,Yorkshire & Humber,0.6445455
1988-11-01,East Anglia,0.6488889
1988-11-01,East Midlands,0.6457143
1988-11-01,London,0.6683333
1988-11-01,North,0.6309091
1988-11-01,North West,0.639375
1988-11-01,Northern Ireland,0.62166667
1988-11-01,Scotland,0.6223077
1988-11-01,South East,0.6576923
1988-11-01,South West,0.6581818
1988-11-01,Wales,0.622
1988-11-01,West Midlands,0.66307694
1988-11-01,Yorkshire & Humber,0.65099996
1988-12-01,East Anglia,0.6433333
1988-12-01,East Midlands,0.63875
1988-12-01,London,0.66555554
1988-12-01,North,0.6390909
1988-12-01,North West,0.6417647
1988-12-01,Northern Ireland,0.62666667
1988-12-01,Scotland,0.6323077
1988-12-01,South East,0.658
1988-12-01,South West,0.6738462
1988-12-01,Wales,0.6363636
1988-12-01,West Midlands,0.6707693
1988-12-01,Yorkshire & Humber,0.64666665
1989-01-01,East Anglia,0.6257143
1989-01-01,East Midlands,0.634
1989-01-01,London,0.66888887
1989-01-01,North,0.6390909
1989-01-01,North West,0.635625
1989-01-01,Northern Ireland,0.636
1989-01-01,Scotland,0.62454545
1989-01-01,South East,0.6561538
1989-01-01,South West,0.68299997
1989-01-01,Wales,0.63545454
1989-01-01,West Midlands,0.6627273
1989-01-01,Yorkshire & Humber,0.6645455
1989-03-01,East Anglia,0.64555556
1989-03-01,East Midlands,0.649
1989-03-01,London,0.6827273
1989-03-01,North,0.63272727
1989-03-01,North West,0.6394445
1989-03-01,Northern Ireland,0.652
1989-03-01,Scotland,0.66249996
1989-03-01,South East,0.65625
1989-03-01,South West,0.7007143
1989-03-01,Wales,0.65727276
1989-03-01,West Midlands,0.65999997
1989-03-01,Yorkshire & Humber,0.64799994
1989-05-01,East Anglia,0.66999996
1989-05-01,East Midlands,0.679
1989-05-01,London,0.7214286
1989-05-01,North,0.6718182
1989-05-01,North West,0.65125
1989-05-01,Northern Ireland,0.6625
1989-05-01,Scotland,0.69083333
1989-05-01,South East,0.676875
1989-05-01,South West,0.7058334
1989-05-01,Wales,0.664
1989-05-01,West Midlands,0.68249995
1989-05-01,Yorkshire & Humber,0.6844444
1989-06-01,East Anglia,0.70125
1989-06-01,East Midlands,0.679
1989-06-01,London,0.7214286
1989-06-01,North,0.67727274
1989-06-01,North West,0.6677778
1989-06-01,Northern Ireland,0.658
1989-06-01,Scotland,0.69
1989-06-01,South East,0.6852941
1989-06-01,South West,0.7146154
1989-06-01,Wales,0.6677778
1989-06-01,West Midlands,0.684
1989-06-01,Yorkshire & Humber,0.6972727
1989-07-01,East Anglia,0.6757143
1989-07-01,East Midlands,0.67636365
1989-07-01,London,0.74875
1989-07-01,North,0.6718182
1989-07-01,North West,0.6670588
1989-07-01,Northern Ireland,0.6775
1989-07-01,Scotland,0.69153845
1989-07-01,South East,0.68333334
1989-07-01,South West,0.70692307
1989-07-01,Wales,0.67777777
1989-07-01,West Midlands,0.69166666
1989-07-01,Yorkshire & Humber,0.67727274
1989-08-01,East Anglia,0.6542857
1989-08-01,East Midlands,0.67636365
1989-08-01,London,0.7422222
1989-08-01,North,0.68
1989-08-01,North West,0.66588235
1989-08-01,Northern Ireland,0.66
1989-08-01,Scotland,0.6918182
1989-08-01,South East,0.68625
1989-08-01,South West,0.71
1989-08-01,Wales,0.68666667
1989-08-01,West Midlands,0.6963636
1989-08-01,Yorkshire & Humber,0.69
1989-09-01,East Anglia,0.6625
1989-09-01,East Midlands,0.6818182
1989-09-01,London,0.737
1989-09-01,North,0.68545455
1989-09-01,North West,0.6694118
1989-09-01,Northern Ireland,0.684
1989-09-01,Scotland,0.70307696
1989-09-01,South East,0.68874997
1989-09-01,South West,0.7135714
1989-09-01,Wales,0.68888885
1989-09-01,West Midlands,0.7022222
1989-09-01,Yorkshire & Humber,0.68666667
1989-10-01,East Anglia,0.6614286
1989-10-01,East Midlands,0.691
1989-10-01,London,0.7188889
1989-10-01,North,0.6881818
1989-10-01,North West,0.67882353
1989-10-01,Northern Ireland,0.678
