quote_date,region_name,price
1997-02-01,East Anglia,1.9466667
1997-02-01,East Midlands,2.063846
1997-02-01,London,2.09375
1997-02-01,North,1.8072727
1997-02-01,North West,1.846875
1997-02-01,Northern Ireland,1.7877778
1997-02-01,Scotland,1.8258823
1997-02-01,South East,1.9469697
1997-02-01,South West,1.76625
1997-02-01,Wales,1.87625
1997-02-01,West Midlands,1.8522222
1997-02-01,Yorkshire & Humber,1.9773333
1997-03-01,East Anglia,1.9466667
1997-03-01,East Midlands,2.093846
1997-03-01,London,2.0238888
1997-03-01,North,1.8525
1997-03-01,North West,1.9499999
1997-03-01,Northern Ireland,1.7877778
1997-03-01,Scotland,1.8275
1997-03-01,South East,1.9651514
1997-03-01,South West,1.800625
1997-03-01,Wales,1.9575
1997-03-01,West Midlands,1.8652941
1997-03-01,Yorkshire & Humber,1.9773333
1997-04-01,East Anglia,2.031
1997-04-01,East Midlands,1.9173334
1997-04-01,London,2.1113334
1997-04-01,North,1.8163636
1997-04-01,North West,1.9470587
1997-04-01,Northern Ireland,1.74
1997-04-01,Scotland,1.8713334
1997-04-01,South East,1.8818749
1997-04-01,South West,1.7546667
1997-04-01,Wales,1.5372727
1997-04-01,West Midlands,1.8729411
1997-04-01,Yorkshire & Humber,1.9066665
1997-05-01,East Anglia,2.057778
1997-05-01,East Midlands,1.9173334
1997-05-01,London,2.1113334
1997-05-01,North,1.8163636
1997-05-01,North West,1.8716666
1997-05-01,Northern Ireland,1.9471428
1997-05-01,Scotland,1.8713334
1997-05-01,South East,1.9021212
1997-05-01,South West,1.7553333
1997-05-01,Wales,1.5372727
1997-05-01,West Midlands,1.9593749
1997-05-01,Yorkshire & Humber,1.899375
1997-06-01,East Anglia,2.0722222
1997-06-01,East Midlands,1.9326667
1997-06-01,London,1.9829412
1997-06-01,North,1.820909
1997-06-01,North West,1.8872223
1997-06-01,Northern Ireland,1.9816666
1997-06-01,Scotland,1.9264286
1997-06-01,South East,2.0325
1997-06-01,South West,1.7833333
1997-06-01,Wales,1.5418181
1997-06-01,West Midlands,1.971875
1997-06-01,Yorkshire & Humber,1.9087499
1997-07-01,East Anglia,2.006
1997-07-01,East Midlands,1.8653333
1997-07-01,London,1.9452631
1997-07-01,North,1.8308333
1997-07-01,North West,1.8644443
1997-07-01,Northern Ireland,1.75125
1997-07-01,Scotland,1.8792857
1997-07-01,South East,1.9440625
1997-07-01,South West,1.7566667
1997-07-01,Wales,1.427
1997-07-01,West Midlands,1.8926666
1997-07-01,Yorkshire & Humber,1.874375
1997-08-01,East Anglia,2.0119998
1997-08-01,East Midlands,1.906
1997-08-01,London,2.0333333
1997-08-01,North,1.8308333
1997-08-01,North West,1.823125
1997-08-01,Northern Ireland,1.94625
1997-08-01,Scotland,1.7774999
1997-08-01,South East,1.9318181
1997-08-01,South West,1.6971428
1997-08-01,Wales,1.427
1997-08-01,West Midlands,1.83625
1997-08-01,Yorkshire & Humber,1.874375
1997-09-01,East Anglia,2.0119998
1997-09-01,East Midlands,1.9073334
1997-09-01,London,2.1083333
1997-09-01,North,1.8308333
1997-09-01,North West,1.8541175
1997-09-01,Northern Ireland,1.7622222
1997-09-01,Scotland,1.8026668
1997-09-01,South East,2.0087097
1997-09-01,South West,1.765625
1997-09-01,Wales,1.427
1997-09-01,West Midlands,1.870625
1997-09-01,Yorkshire & Humber,1.853125
1997-10-01,East Anglia,2.0119998
1997-10-01,East Midlands,1.9073334
1997-10-01,London,2.0815
1997-10-01,North,1.8308333
1997-10-01,North West,1.8733335
1997-10-01,Northern Ireland,1.7622222
1997-10-01,Scotland,1.8025
1997-10-01,South East,1.9096875
1997-10-01,South West,1.765625
1997-10-01,Wales,1.510909
1997-10-01,West Midlands,1.8782353
1997-10-01,Yorkshire & Humber,1.874375
1997-11-01,East Anglia,2.03
1997-11-01,East Midlands,1.9080001
1997-11-01,London,2.1074998
1997-11-01,North,1.8691667
1997-11-01,North West,1.9088889
1997-11-01,Northern Ireland,1.7822223
1997-11-01,Scotland,1.918
1997-11-01,South East,1.9906452
1997-11-01,South West,1.89
1997-11-01,Wales,1.5811111
1997-11-01,West Midlands,1.8573334
1997-11-01,Yorkshire & Humber,1.8186666
1997-12-01,East Anglia,1.9944445
1997-12-01,East Midlands,1.9113333
1997-12-01,London,2.1236842
1997-12-01,North,1.8850001
1997-12-01,North West,1.8970588
1997-12-01,Northern Ireland,1.7822222
1997-12-01,Scotland,1.9264287
1997-12-01,South East,1.9536364
1997-12-01,South West,1.8871429
1997-12-01,Wales,1.6719999
1997-12-01,West Midlands,1.913125
1997-12-01,Yorkshire & Humber,1.6292307
1998-01-01,East Anglia,2.03
1998-01-01,East Midlands,1.9113333
1998-01-01,London,2.1545
1998-01-01,North,1.8849999
1998-01-01,North West,1.9194444
1998-01-01,Northern Ireland,1.7933333
1998-01-01,Scotland,1.9342858
1998-01-01,South East,1.9103227
1998-01-01,South West,1.8479999
1998-01-01,Wales,1.6719999
1998-01-01,West Midlands,1.9117647
1998-01-01,Yorkshire & Humber,1.638
1998-02-01,East Anglia,2.16
1998-02-01,East Midlands,1.6866666
1998-02-01,London,1.9476471
1998-02-01,North,1.74875
1998-02-01,North West,2.0715384
1998-02-01,Northern Ireland,2.246
1998-02-01,Scotland,1.9958334
1998-02-01,South East,1.952069
1998-02-01,South West,1.8261539
1998-02-01,Wales,1.825
1998-02-01,West Midlands,2.0592308
1998-02-01,Yorkshire & Humber,1.5969231
1998-03-01,East Anglia,2.1214287
1998-03-01,East Midlands,1.7354546
1998-03-01,London,1.915625
1998-03-01,North,1.74875
1998-03-01,North West,2.0483334
1998-03-01,Northern Ireland,1.9466667
1998-03-01,Scotland,1.9766668
1998-03-01,South East,1.9903449
1998-03-01,South West,1.8692307
1998-03-01,Wales,1.8362501
1998-03-01,West Midlands,1.9873333
1998-03-01,Yorkshire & Humber,1.8721428
1998-04-01,East Anglia,2.21
1998-04-01,East Midlands,1.7399999
1998-04-01,London,1.9641176
1998-04-01,North,1.7633333
1998-04-01,North West,2.1223078
1998-04-01,Northern Ireland,2.286
1998-04-01,Scotland,2.029091
1998-04-01,South East,2.0085185
1998-04-01,South West,1.8833333
