Year,Service Type,Service Level,Coverage,Type,Region,Residence Type,Population
2012,Drinking water,Basic service,29.53284072875977,world,World,rural,1014062691.1893293
2012,Drinking water,Basic service,13.04296112060547,world,World,urban,491396740.3166424
2012,Drinking water,Safely managed service,47.42826253069502,world,World,rural,1628533874.6121488
2012,Drinking water,Safely managed service,82.77378518560849,world,World,urban,3118522538.5376153
2016,Drinking water,Basic service,28.75086402893066,world,World,rural,995826503.7797524
2016,Drinking water,Basic service,12.9256067276001,world,World,urban,529292504.3408908
2016,Drinking water,Safely managed service,50.75368696331608,world,World,rural,1757925138.9368024
2016,Drinking water,Safely managed service,83.1204854877103,world,World,urban,3403712557.0189333
2020,Drinking water,Basic service,27.86652374267578,world,World,rural,967856053.6817561
2020,Drinking water,Basic service,12.86996459960938,world,World,urban,568056535.5941647
2020,Drinking water,Safely managed service,54.16297957171486,world,World,rural,1881180736.714736
2020,Drinking water,Safely managed service,83.42820968723034,world,World,urban,3682367530.924677
2024,Drinking water,Basic service,24.10958862304688,world,World,rural,832885029.7565957
2024,Drinking water,Basic service,12.98991584777832,world,World,urban,611486327.2759652
2024,Drinking water,Safely managed service,60.46026183162151,world,World,rural,2088648120.9631605
2024,Drinking water,Safely managed service,83.47971215167458,world,World,urban,3929717727.4949646
