Year,Service Level,Coverage,Residence Type
2012,Safely managed service,47.42826253,rural
2012,Safely managed service,82.77378519,urban
2014,Safely managed service,49.07413516,rural
2014,Safely managed service,82.93775095,urban
2016,Safely managed service,50.75368696,rural
2016,Safely managed service,83.12048549,urban
2018,Safely managed service,52.46068215,rural
2018,Safely managed service,83.29200628,urban
2020,Safely managed service,54.16297957,rural
2020,Safely managed service,83.42820969,urban
2022,Safely managed service,55.86645242,rural
2022,Safely managed service,83.510721,urban
2024,Safely managed service,60.46026183,rural
2024,Safely managed service,83.47971215,urban
