LA (code),LA (name),EstablishmentName,EstablishmentTypeGroup (name),Gender (name),ReligiousCharacter (name),NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Street,Address3,Town,County (code),County (name),Postcode,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),GSSLACode (code),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),PropsName,Country (code),Country (name),MSOA (code),LSOA (code),FSM,Latitude,Longitude
201,City of London,City of London School for Girls,Independent schools,Girls,,780.0,0.0,780.0,,St Giles' Terrace,,London,99,,EC2Y 8BB,H,London,E09000001,City of London,E09000001,E09000001,532301,181746,City of London 001,City of London 001B,Corporation of London,0,,E02000001,E01000002,,51.519147751673400,-0.09456610848601130
201,City of London,St Paul's Cathedral School,Independent schools,Mixed,Church of England,285.0,169.0,116.0,,2 New Change,,London,99,,EC4M 9AD,H,London,E09000001,City of London,E09000001,E09000001,532160,181151,City of London 001,City of London 001F,Chapter of the Cathedral Church of St Paul’s,0,,E02000001,E01032739,,51.51383377622710,-0.09682000273167770
201,City of London,City of London School,Independent schools,Boys,,1074.0,1074.0,0.0,,107 Queen Victoria Street,,London,99,,EC4V 3AL,H,London,E09000001,City of London,E09000001,E09000001,531981,180844,City of London 001,City of London 001F,City of London Corporation(Board of Governors of City of London School,0,,E02000001,E01032739,,51.51111672763240,-0.09951288956918300
202,Camden,St Christopher's School,Independent schools,Girls,,255.0,0.0,255.0,,32 Belsize Lane,,London,99,,NW3 5AE,H,London,E09000007,Camden,E09000007,E09000007,526978,185153,Camden 008,Camden 008D,St Christopher's School,0,,E02000173,E01000897,,51.550986393502900,-0.17001487949955400
202,Camden,St Margaret's School,Independent schools,Girls,,163.0,0.0,163.0,,18 Kidderpore Gardens,,London,99,,NW3 7SR,H,London,E09000007,Camden,E09000007,E09000007,525551,185876,Camden 004,Camden 004D,St Margaret's School (Hampstead) Ltd,0,,E02000169,E01000884,,51.55780295341190,-0.19032725779219200
202,Camden,Sarum Hall School,Independent schools,Girls,Church of England,186.0,0.0,186.0,,15 Eton Avenue,,London,99,,NW3 3EL,H,London,E09000007,Camden,E09000007,E09000007,527291,184479,Camden 014,Camden 014B,Sarum Hall School Trust Ltd,0,,E02000179,E01000845,,51.54485884487710,-0.16574665272914200
202,Camden,The Hall School,Independent schools,Boys,Church of England,474.0,474.0,0.0,,23 Crossfield Road,,London,99,,NW3 4NU,H,London,E09000007,Camden,E09000007,E09000007,526932,184533,Camden 011,Camden 011B,The Hall School Charitable Trust,0,,E02000176,E01000844,,51.54542491561050,-0.17090144249659000
202,Camden,University College School,Independent schools,Mixed,,1305.0,1196.0,109.0,,Frognal,,London,99,,NW3 6XH,H,London,E09000007,Camden,E09000007,E09000007,526202,185414,Camden 004,Camden 004B,University College School,0,,E02000169,E01000879,,51.55350589993640,-0.18110733346445600
202,Camden,The Cavendish School,Independent schools,Girls,Roman Catholic,187.0,0.0,187.0,,31 Inverness Street,,London,99,,NW1 7HB,H,London,E09000007,Camden,E09000007,E09000007,528739,183866,Camden 021,Camden 021A,The Cavendish School Charitable Trust Ltd,0,,E02000186,E01000863,,51.539021860360600,-0.14510095989782200
202,Camden,"St Mary's School, Hampstead",Independent schools,Girls,Roman Catholic,207.0,0.0,207.0,,47 Fitzjohn's Avenue,,,99,,NW3 6PG,H,London,E09000007,Camden,E09000007,E09000007,526543,185092,Camden 008,Camden 008A,St Mary's School Hampstead,0,,E02000173,E01000881,,51.5505358326321,-0.17630729803929800
202,Camden,North Bridge House Nursery & Pre-Prep Schools,Independent schools,Mixed,,198.0,112.0,86.0,,8 Netherhall Gardens,,London,99,,NW3 5RR,H,London,E09000007,Camden,E09000007,E09000007,526368,184811,Camden 008,Camden 008C,Cognita Schools Ltd,0,,E02000173,E01000883,,51.548049713293500,-0.17893073275725100
202,Camden,Hereward House School,Independent schools,Boys,,162.0,162.0,0.0,,14 Strathray Gardens,,London,99,,NW3 4NY,H,London,E09000007,Camden,E09000007,E09000007,527001,184495,Camden 011,Camden 011B,Leonie Sampson,0,,E02000176,E01000844,,51.545067907947400,-0.16992063834280100
202,Camden,St Anthony's School for Boys,Independent schools,Boys,Catholic,266.0,260.0,6.0,,90 Fitzjohn's Avenue,,,99,,NW3 6NP,H,London,E09000007,Camden,E09000007,E09000007,526536,185454,Camden 008,Camden 008D,Alpha Plus Group Limited,GB,United Kingdom,E02000173,E01000897,,51.553790631878400,-0.17627809709909100
202,Camden,Hampstead Hill School,Independent schools,Mixed,,373.0,204.0,169.0,,St Stephen's,Hampstead,London,99,,NW3 2PP,H,London,E09000007,Camden,E09000007,E09000007,527085,185400,Camden 008,Camden 008E,ANDREA TAYLOR,0,,E02000173,E01000898,,51.55318206222860,-0.16838332929013200
202,Camden,North Bridge House Senior School,Independent schools,Mixed,,437.0,309.0,128.0,,65 Rosslyn Hill,,,99,,NW3 5UD,H,London,E09000007,Camden,E09000007,E09000007,526640,185531,Camden 002,Camden 002B,Cognita Schools Ltd,0,,E02000167,E01000894,,51.554459303353700,-0.17475115196661300
202,Camden,Trevor-Roberts School,Independent schools,Mixed,,163.0,92.0,71.0,,55-57 Eton Avenue,,London,99,,NW3 3ET,H,London,E09000007,Camden,E09000007,E09000007,526981,184414,Camden 011,Camden 011B,Trevor-Roberts School LTD,0,,E02000176,E01000844,,51.54434447283090,-0.17023810045487200
202,Camden,South Hampstead High School GDST,Independent schools,Girls,,954.0,0.0,954.0,,3 Maresfield Gardens,,London,99,,NW3 5SS,H,London,E09000007,Camden,E09000007,E09000007,526491,184607,Camden 008,Camden 008C,Girls Day School Trust,0,,E02000173,E01000883,,51.54618886618020,-0.17723107899252400
202,Camden,Heathside Preparatory School,Independent schools,Mixed,,105.0,70.0,35.0,,84A Heath Street,London,London,99,,NW3 1DN,H,London,E09000007,Camden,E09000007,E09000007,526506,185985,Camden 002,Camden 002C,Hampstead Schools Ltd,0,,E02000167,E01000895,,51.55856935512430,-0.17651972907673800
202,Camden,Devonshire House Preparatory School,Independent schools,Mixed,,471.0,289.0,182.0,,2,Hampstead,London,99,,NW3 6AE,H,London,E09000007,Camden,E09000007,E09000007,526456,185413,Camden 004,Camden 004B,Dukes Education,GB,United Kingdom,E02000169,E01000879,,51.55344009214240,-0.17744609143802100
202,Camden,Broadhurst School,Independent schools,Mixed,,102.0,55.0,47.0,,19 Greencroft Gardens,,London,99,,NW6 3LP,H,London,E09000007,Camden,E09000007,E09000007,526211,184422,Camden 016,Camden 016A,Brian Berkery,0,,E02000181,E01000962,,51.54458892895320,-0.18133314076265300
202,Camden,College Francais Bilingue De Londres,Independent schools,Mixed,,698.0,372.0,326.0,,87 Holmes Road,Kentish Town,London,99,,NW5 3AX,H,London,E09000007,Camden,E09000007,E09000007,528672,184981,Camden 007,Camden 007E,College  Francais Bilingue de Londres Limited,0,,E02000172,E01000922,,51.54905727604760,-0.1456591767109080
202,Camden,Fine Arts College,Independent schools,Mixed,,209.0,74.0,135.0,,Centre Studios,Belsize Park,London,99,,NW3 4YD,H,London,E09000007,Camden,E09000007,E09000007,527535,184578,Camden 014,Camden 014B,Dukes Education,0,,E02000179,E01000845,,51.545693499001000,-0.16219405782323700
202,Camden,The Mulberry House School,Independent schools,Mixed,,190.0,104.0,86.0,,7 Minster Road,,London,99,,NW2 3SD,H,London,E09000007,Camden,E09000007,E09000007,524389,185149,Camden 005,Camden 005B,The Mulberry House School Ltd,GB,United Kingdom,E02000170,E01000872,,51.55152661023140,-0.20733706855605800
202,Camden,Southbank International School Hampstead,Independent schools,Mixed,,165.0,89.0,76.0,,16 Netherhall Gardens,,London,99,,NW3 5TH,H,London,E09000007,Camden,E09000007,E09000007,526368,184950,Camden 008,Camden 008A,Cognita Schools Ltd,0,,E02000173,E01000881,,51.54929888457890,-0.17888085190616400
203,Greenwich,The Pointer School,Independent schools,Mixed,,347.0,220.0,127.0,,19 Stratheden Road,,London,99,,SE3 7TH,H,London,E09000011,Greenwich,E09000011,E09000011,540209,177029,Greenwich 021,Greenwich 021A,Dukes Education Group Ltd,0,,E02000333,E01001580,,51.47485557877610,0.01746371389228050
203,Greenwich,Blackheath Prep,Independent schools,Mixed,,388.0,191.0,197.0,,4 St German's Place,,London,99,,SE3 0NJ,H,London,E09000011,Greenwich,E09000011,E09000011,540095,176757,Greenwich 021,Greenwich 021C,Eltham College,0,,E02000333,E01001583,,51.472439619673300,0.015715581443840200
203,Greenwich,Riverston School,Independent schools,Mixed,,205.0,127.0,78.0,,63-69 Eltham Road,,London,99,,SE12 8UF,H,London,E09000011,Greenwich,E09000011,E09000011,540433,174828,Greenwich 034,Greenwich 034C,Cavendish Education Ltd,0,,E02006927,E01001658,,51.45502205138430,0.019813337582021600
203,Greenwich,St Olave's Prep School,Independent schools,Mixed,,215.0,109.0,106.0,,106-110 Southwood Road,,London,99,,SE9 3QS,H,London,E09000011,Greenwich,E09000011,E09000011,543704,172762,Greenwich 032,Greenwich 032C,St Olave's School Trust,0,,E02000344,E01001600,,51.435637532902100,0.06602102927212610
203,Greenwich,Colfe's School,Independent schools,Mixed,,1308.0,739.0,569.0,,Horn Park Lane,,London,99,,SE12 8AW,H,London,E09000011,Greenwich,E09000011,E09000011,540572,174309,Greenwich 034,Greenwich 034D,Colfe's School,0,,E02006927,E01001659,,51.45032388624830,0.021606529645405700
209,Lewisham,Heath House Preparatory School,Independent schools,Mixed,,120.0,71.0,49.0,,37 Wemyss Road,,London,99,,SE3 0TG,H,London,E09000023,Lewisham,E09000023,E09000023,539675,176150,Lewisham 009,Lewisham 009B,Heath House Prep School Ltd,0,,E02000661,E01003200,,51.467088876893600,0.009432685522551240
204,Hackney,Yesodey Hatorah School,Independent schools,Boys,,203.0,203.0,0.0,,2-4 Amhurst Park,,London,99,,N16 5AE,H,London,E09000012,Hackney,E09000012,E09000012,533530,187905,Hackney 001,Hackney 001A,Yesodey Hatorah Schools,0,,E02000345,E01001808,,51.57420555852500,-0.07452822693564600
204,Hackney,Talmud Torah Yetev Lev,Independent schools,Boys,,483.0,483.0,0.0,,111-115 Cazenove Road,,London,99,,N16 6AX,H,London,E09000012,Hackney,E09000012,E09000012,534258,187015,Hackney 029,Hackney 029B,Talmud Torah Education,0,,E02006921,E01001728,,51.56603508006130,-0.06436921997801770
204,Hackney,Bnois Jerusalem Girls School,Independent schools,Girls,,615.0,0.0,615.0,,"71, 75-81 Amhurst Park",,London,99,,N16 5DL,H,London,E09000012,Hackney,E09000012,E09000012,532994,187930,Hackney 003,Hackney 003D,Bnois Jerusalem School,0,,E02000347,E01001807,,51.574556800235700,-0.08224869394190960
204,Hackney,Beis Rochel d'Satmar Girls' School,Independent schools,Mixed,Orthodox Jewish,1326.0,0.0,1326.0,,51-57 Amhurst Park,,London,99,,N16 5DL,H,London,E09000012,Hackney,E09000012,E09000012,533153,187929,Hackney 003,Hackney 003D,Beis Rochel D'satmar Charitable Trust,0,,E02000347,E01001807,,51.574510316623300,-0.07995603721310810
