Code,Name,Borough,IMD
E05000026,Abbey,Barking and Dagenham,31.3
E05000027,Alibon,Barking and Dagenham,35.4
E05000028,Becontree,Barking and Dagenham,35.3
E05000029,Chadwell Heath,Barking and Dagenham,32.1
E05000030,Eastbrook,Barking and Dagenham,25.3
E05000031,Eastbury,Barking and Dagenham,33.2
E05000032,Gascoigne,Barking and Dagenham,37.1
E05000033,Goresbrook,Barking and Dagenham,33.3
E05000034,Heath,Barking and Dagenham,35.9
E05000035,Longbridge,Barking and Dagenham,21.2
E05000036,Mayesbrook,Barking and Dagenham,38.2
E05000037,Parsloes,Barking and Dagenham,32.5
E05000038,River,Barking and Dagenham,32.9
E05000039,Thames,Barking and Dagenham,36.4
E05000040,Valence,Barking and Dagenham,36.4
E05000041,Village,Barking and Dagenham,36.1
E05000042,Whalebone,Barking and Dagenham,24.5
E05000043,Brunswick Park,Barnet,13.1
E05000044,Burnt Oak,Barnet,28.0
E05000045,Childs Hill,Barnet,19.7
E05000046,Colindale,Barnet,25.2
E05000047,Coppetts,Barnet,16.6
E05000048,East Barnet,Barnet,15.0
E05000049,East Finchley,Barnet,15.1
E05000050,Edgware,Barnet,14.9
E05000051,Finchley Church End,Barnet,10.5
E05000052,Garden Suburb,Barnet,9.1
E05000053,Golders Green,Barnet,19.2
E05000054,Hale,Barnet,15.6
E05000055,Hendon,Barnet,16.0
E05000056,High Barnet,Barnet,11.1
E05000057,Mill Hill,Barnet,13.9
E05000058,Oakleigh,Barnet,11.9
E05000059,Totteridge,Barnet,9.8
E05000060,Underhill,Barnet,19.9
E05000061,West Finchley,Barnet,12.1
E05000062,West Hendon,Barnet,19.5
E05000063,Woodhouse,Barnet,16.2
E05011217,Barnehurst,Bexley,16.5
E05011218,Belvedere,Bexley,22.6
E05011219,Bexleyheath,Bexley,12.6
E05011220,Blackfen & Lamorbey,Bexley,9.2
E05011221,Blendon & Penhill,Bexley,9.3
E05011222,Crayford,Bexley,21.2
E05011223,Crook Log,Bexley,9.9
E05011224,East Wickham,Bexley,14.2
E05011225,Erith,Bexley,26.3
E05011226,Falconwood & Welling,Bexley,11.1
E05011227,Longlands,Bexley,10.4
E05011228,Northumberland Heath,Bexley,19.6
E05011230,Sidcup,Bexley,16.4
E05011231,Slade Green & Northend,Bexley,31.7
E05011229,St. Mary's & St. James,Bexley,13.2
E05011232,Thamesmead East,Bexley,25.4
E05011233,West Heath,Bexley,10.5
E05000085,Alperton,Brent,22.5
E05000086,Barnhill,Brent,25.2
E05000087,Brondesbury Park,Brent,21.5
E05000088,Dollis Hill,Brent,29.5
E05000089,Dudden Hill,Brent,27.5
E05000090,Fryent,Brent,19.9
E05000091,Harlesden,Brent,39.6
E05000092,Kensal Green,Brent,28.4
E05000093,Kenton,Brent,13.0
E05000094,Kilburn,Brent,31.1
E05000095,Mapesbury,Brent,24.2
E05000096,Northwick Park,Brent,14.9
E05000097,Preston,Brent,20.8
E05000098,Queens Park,Brent,19.0
E05000099,Queensbury,Brent,19.9
E05000100,Stonebridge,Brent,45.3
E05000101,Sudbury,Brent,22.2
E05000102,Tokyngton,Brent,21.9
E05000103,Welsh Harp,Brent,27.6
E05000104,Wembley Central,Brent,23.0
E05000105,Willesden Green,Brent,29.9
E05000106,Bickley,Bromley,8.2
E05000107,Biggin Hill,Bromley,9.3
E05000108,Bromley Common and Keston,Bromley,15.9
E05000109,Bromley Town,Bromley,10.7
E05000110,Chelsfield and Pratts Bottom,Bromley,6.7
E05000111,Chislehurst,Bromley,9.8
E05000112,Clock House,Bromley,12.4
E05000113,Copers Cope,Bromley,11.4
E05000114,Cray Valley East,Bromley,27.2
E05000115,Cray Valley West,Bromley,28.3
E05000116,Crystal Palace,Bromley,26.3
E05000117,Darwin,Bromley,15.0
E05000118,Farnborough and Crofton,Bromley,8.4
E05000119,Hayes and Coney Hall,Bromley,7.2
E05000120,Kelsey and Eden Park,Bromley,10.7
E05000121,Mottingham and Chislehurst North,Bromley,28.0
E05000122,Orpington,Bromley,16.1
E05000123,Penge and Cator,Bromley,22.2
E05000124,Petts Wood and Knoll,Bromley,5.0
E05000125,Plaistow and Sundridge,Bromley,17.6
E05000126,Shortlands,Bromley,6.3
E05000127,West Wickham,Bromley,6.2
E05000128,Belsize,Camden,11.9
E05000129,Bloomsbury,Camden,17.2
E05000130,Camden Town with Primrose Hill,Camden,24.1
E05000131,Cantelowes,Camden,23.8
E05000132,Fortune Green,Camden,17.0
E05000133,Frognal and Fitzjohns,Camden,7.1
E05000134,Gospel Oak,Camden,23.5
E05000135,Hampstead Town,Camden,7.2
E05000136,Haverstock,Camden,27.1
E05000137,Highgate,Camden,18.5
E05000138,Holborn and Covent Garden,Camden,21.1
E05000139,Kentish Town,Camden,18.8
E05000140,Kilburn,Camden,29.3
E05000141,King's Cross,Camden,24.9
E05000142,Regent's Park,Camden,26.1
E05000143,St. Pancras and Somers Town,Camden,32.5
E05000144,Swiss Cottage,Camden,13.3
E05000145,West Hampstead,Camden,16.6
E05009297,City of London,City of London,14.7
E05011462,Addiscombe East,Croydon,16.9
E05011463,Addiscombe West,Croydon,22.0
E05011464,Bensham Manor,Croydon,25.2
E05011465,Broad Green,Croydon,30.8
E05011466,Coulsdon Town,Croydon,11.3
E05011467,Crystal Palace & Upper Norwood,Croydon,21.1
E05011468,Fairfield,Croydon,32.2
E05011469,Kenley,Croydon,12.4
E05011470,New Addington North,Croydon,38.2
E05011471,New Addington South,Croydon,34.9
E05011472,Norbury & Pollards Hill,Croydon,21.0
E05011473,Norbury Park,Croydon,20.1
E05011474,Old Coulsdon,Croydon,14.0
E05011475,Park Hill & Whitgift,Croydon,12.1
E05011476,Purley & Woodcote,Croydon,14.8
E05011477,Purley Oaks & Riddlesdown,Croydon,11.7
E05011478,Sanderstead,Croydon,8.8
E05011479,Selhurst,Croydon,37.3
E05011480,Selsdon & Addington Village,Croydon,15.4
E05011481,Selsdon Vale & Forestdale,Croydon,13.7
E05011482,Shirley North,Croydon,18.6
E05011483,Shirly South,Croydon,17.3
E05011484,South Croydon,Croydon,17.3
E05011485,South Norwood,Croydon,30.3
E05011486,Thornton Heath,Croydon,28.8
E05011487,Waddon,Croydon,28.5
E05011488,West Thornton,Croydon,29.2
E05011489,Woodside,Croydon,26.2
E05000170,Acton Central,Ealing,24.1
E05000171,Cleveland,Ealing,21.7
E05000172,Dormers Wells,Ealing,29.0
E05000173,Ealing Broadway,Ealing,16.4
E05000174,Ealing Common,Ealing,20.1
E05000175,East Acton,Ealing,24.7
E05000176,Elthorne,Ealing,24.2
E05000177,Greenford Broadway,Ealing,27.1
E05000178,Greenford Green,Ealing,19.1
E05000179,Hanger Hill,Ealing,14.6
E05000180,Hobbayne,Ealing,23.4
E05000181,Lady Margaret,Ealing,20.6
E05000183,North Greenford,Ealing,16.0
E05000182,Northfield,Ealing,11.1
E05000184,Northolt Mandeville,Ealing,27.2
E05000185,Northolt West End,Ealing,33.3
E05000186,Norwood Green,Ealing,32.9
E05000187,Perivale,Ealing,17.7
E05000188,South Acton,Ealing,29.0
E05000189,Southall Broadway,Ealing,30.2
E05000190,Southall Green,Ealing,27.9
E05000191,Southfield,Ealing,12.7
E05000192,Walpole,Ealing,14.9
E05000193,Bowes,Enfield,21.2
E05000194,Bush Hill Park,Enfield,13.7
E05000195,Chase,Enfield,25.9
E05000196,Cockfosters,Enfield,16.0
E05000197,Edmonton Green,Enfield,41.9
E05000198,Enfield Highway,Enfield,33.3
E05000199,Enfield Lock,Enfield,32.2
E05000200,Grange,Enfield,12.3
E05000201,Haselbury,Enfield,31.8
E05000202,Highlands,Enfield,16.0
E05000203,Jubilee,Enfield,32.6
E05000204,Lower Edmonton,Enfield,35.2
E05000205,Palmers Green,Enfield,20.3
E05000206,Ponders End,Enfield,34.5
E05000207,Southbury,Enfield,29.1
E05000208,Southgate,Enfield,13.8
E05000209,Southgate Green,Enfield,16.9
E05000210,Town,Enfield,13.3
E05000211,Turkey Street,Enfield,35.3
E05000212,Upper Edmonton,Enfield,36.2
E05000213,Winchmore Hill,Enfield,12.9
E05000214,Abbey Wood,Greenwich,30.5
E05000215,Blackheath Westcombe,Greenwich,15.4
E05000216,Charlton,Greenwich,25.1
E05000217,Coldharbour and New Eltham,Greenwich,19.2
E05000218,Eltham North,Greenwich,14.1
E05000219,Eltham South,Greenwich,18.1
E05000220,Eltham West,Greenwich,31.6
E05000221,Glyndon,Greenwich,27.6
E05000222,Greenwich West,Greenwich,20.0
E05000223,Kidbrooke with Hornfair,Greenwich,27.7
E05000224,Middle Park and Sutcliffe,Greenwich,29.1
E05000225,Peninsula,Greenwich,24.0
E05000226,Plumstead,Greenwich,25.8
E05000227,Shooters Hill,Greenwich,17.5
E05000228,Thamesmead Moorings,Greenwich,25.1
E05000229,Woolwich Common,Greenwich,31.5
E05000230,Woolwich Riverside,Greenwich,27.3
E05009367,Brownswood,Hackney,27.0
E05009368,Cazenove,Hackney,27.8
E05009369,Clissold,Hackney,26.2
E05009370,Dalston,Hackney,31.8
E05009371,De Beauvoir,Hackney,28.5
E05009372,Hackney Central,Hackney,33.4
E05009373,Hackney Downs,Hackney,32.5
E05009374,Hackney Wick,Hackney,40.8
E05009375,Haggerston,Hackney,37.8
E05009376,Homerton,Hackney,38.6
E05009377,Hoxton East & Shoreditch,Hackney,30.3
E05009378,Hoxton West,Hackney,31.4
E05009379,King's Park,Hackney,37.0
E05009380,Lea Bridge,Hackney,30.7
