Name,independent_school_count,gcse_grade5_pct
Barking and Dagenham,1,46.9
Barnet,34,66.6
Bexley,4,55.0
Brent,10,55.7
Bromley,10,55.7
Camden,30,50.7
Croydon,17,44.2
Ealing,13,57.7
Enfield,10,48.3
Greenwich,9,49.3
Hackney,29,53.5
Hammersmith and Fulham,18,64.4
Haringey,10,49.6
Harrow,9,56.7
Havering,7,52.2
Hillingdon,8,53.3
Hounslow,10,55.0
Islington,6,51.3
Kensington and Chelsea,29,62.2
Kingston upon Thames,11,70.4
Lambeth,5,43.8
Lewisham,6,45.6
Merton,14,55.1
Newham,6,56.4
Redbridge,12,64.5
Richmond upon Thames,23,66.6
Southwark,8,56.1
Sutton,4,68.0
Tower Hamlets,14,51.6
Waltham Forest,6,45.2
Wandsworth,25,59.1
Westminster,27,61.3
