Code,LA,Region,Underweight_Number,Underweight_Prevalence,,Healthy_Number,Healthy_Prevalence,,Overweight_Number,Overweight_Prevalence,,Obesity_Number,Obesity_Prevalence,,
E06000015,Derby,East Midlands, 60 ,1.8,," 3,395 ",60.9,, 750 ,13.5,," 1,355 ",24.3,,
E10000007,Derbyshire,East Midlands, 120 ,1.5,, 750 ,63.3,, 175 ,14.8,, 245 ,20.7,,
E06000016,Leicester,East Midlands, 150 ,3.2,," 1,225 ",61.3,, 300 ,15.0,, 450 ,22.5,,
E10000018,Leicestershire,East Midlands, 140 ,1.9,, 630 ,57.0,, 165 ,14.9,, 295 ,26.7,,
E10000019,Lincolnshire,East Midlands, 100 ,1.3,," 1,145 ",59.2,, 270 ,14.0,, 495 ,25.6,,
E06000061,North Northamptonshire,East Midlands, 45 ,1.1,," 1,775 ",57.9,, 455 ,14.8,, 790 ,25.8,,
E06000018,Nottingham,East Midlands, 70 ,1.9,," 1,360 ",61.8,, 315 ,14.3,, 490 ,22.3,,
E10000024,Nottinghamshire,East Midlands, 130 ,1.4,," 1,960 ",63.8,, 390 ,12.7,, 685 ,22.3,,
E06000017,Rutland,East Midlands, * ,*,, 895 ,59.5,, 205 ,13.6,, 380 ,25.2,,
E06000062,West Northamptonshire,East Midlands, 85 ,1.8,, 965 ,58.1,, 230 ,13.9,, 435 ,26.2,,
E06000055,Bedford,East of England, 35 ,1.7,," 1,465 ",60.2,, 340 ,14.0,, 600 ,24.6,,
E10000003,Cambridgeshire,East of England, 110 ,1.6,," 1,660 ",56.4,, 435 ,14.8,, 810 ,27.5,,
E06000056,Central Bedfordshire,East of England, 55 ,1.6,," 1,330 ",58.6,, 325 ,14.3,, 555 ,24.4,,
E10000012,Essex,East of England, 265 ,1.6,, 855 ,56.6,, 235 ,15.6,, 395 ,26.2,,
E10000015,Hertfordshire,East of England, 230 ,1.8,," 2,320 ",59.5,, 560 ,14.4,, 920 ,23.6,,
